Entity,Code,Year,Gas - Prices 
Average German import,,2009,8.531361
Average German import,,2010,8.031025999999999
Average German import,,2011,10.49128
Average German import,,2012,10.92553
Average German import,,2013,10.726307743063801
Average German import,,2014,9.114795570996082
Average German import,,2015,6.71908537993086
Average German import,,2016,4.931313261327519
Average German import,,2017,5.61824121142784
Average German import,,2018,6.6227098519258405
Average German import,,2019,5.25296122034329
Canada,CAN,2009,3.3825
Canada,CAN,2010,3.6859050230485297
Canada,CAN,2011,3.4745745759113698
Canada,CAN,2012,2.26845856355472
Canada,CAN,2013,2.92601483841582
Canada,CAN,2014,3.86837219170504
Canada,CAN,2015,2.00732212556984
Canada,CAN,2016,1.5504548300918501
Canada,CAN,2017,1.5999734247792101
Canada,CAN,2018,1.11507538431858
Canada,CAN,2019,1.26798149608358
Japan,JPN,2009,9.05813818238213
Japan,JPN,2010,10.9093905086849
Japan,JPN,2011,14.729308829611302
Japan,JPN,2012,16.7481680366005
Japan,JPN,2013,16.169387148469802
Japan,JPN,2014,16.3293043062448
Japan,JPN,2015,10.305359543010802
Japan,JPN,2016,6.93687319065343
Japan,JPN,2017,8.09512962675765
Japan,JPN,2018,10.0492239195616
Japan,JPN,2019,9.94466953577337
Japan Korea Marker,,2009,5.2753862660944195
Japan Korea Marker,,2010,7.72057768924303
Japan Korea Marker,,2011,14.02
Japan Korea Marker,,2012,15.1160358565737
Japan Korea Marker,,2013,16.556772908366497
Japan Korea Marker,,2014,13.856374501991999
Japan Korea Marker,,2015,7.44989919354839
Japan Korea Marker,,2016,5.72291666666667
Japan Korea Marker,,2017,7.1289
Japan Korea Marker,,2018,9.76
Japan Korea Marker,,2019,5.4941
Netherlands TTF,,2009,4.95966855273464
Netherlands TTF,,2010,6.7693970696971295
Netherlands TTF,,2011,9.25929146402652
Netherlands TTF,,2012,9.448102414225609
Netherlands TTF,,2013,9.75410969101217
Netherlands TTF,,2014,8.1437219600942
Netherlands TTF,,2015,6.43697026939338
Netherlands TTF,,2016,4.53970589540942
Netherlands TTF,,2017,5.72106071892122
Netherlands TTF,,2018,7.90235689187371
Netherlands TTF,,2019,4.44775610232891
OECD,,2009,10.4137931034483
OECD,,2010,13.4706896551724
OECD,,2011,18.553448275862102
OECD,,2012,18.8189655172414
OECD,,2013,18.248275862068997
OECD,,2014,16.798275862068998
OECD,,2015,8.77241379310345
OECD,,2016,7.0448275862069
OECD,,2017,8.97413793103448
OECD,,2018,11.684482758620698
OECD,,2019,10.8172413793103
United Kingdom,GBR,2009,4.85
United Kingdom,GBR,2010,6.556147540806321
United Kingdom,GBR,2011,9.042480079681289
United Kingdom,GBR,2012,9.46448003924233
United Kingdom,GBR,2013,10.6384416982761
United Kingdom,GBR,2014,8.253269856949482
United Kingdom,GBR,2015,6.5260981998897005
United Kingdom,GBR,2016,4.690177974422441
United Kingdom,GBR,2017,5.80479507701665
United Kingdom,GBR,2018,8.06112183983241
United Kingdom,GBR,2019,4.466949453747031
United States,USA,2009,3.89333333333333
United States,USA,2010,4.38884942713409
United States,USA,2011,4.00903256677375
United States,USA,2012,2.75537157229645
United States,USA,2013,3.7072900048458397
United States,USA,2014,4.34774155035418
United States,USA,2015,2.6036668093353303
United States,USA,2016,2.46183890282923
United States,USA,2017,2.95670518413076
United States,USA,2018,3.1262032458288904
United States,USA,2019,2.52893438640409
