"year","GB","AT","BE","BG","CY","CZ","DE","DK","EE","ES","FI","FR","GR","HR","HU","IE","IS","IT","LI","LT","LU","LV","MT","NL","NO","PL","PT","RO","SE","SI","SK","XI"
2005,204460033,16682174,26384034,0,3471844,71125681,375392224,22562003,11634338,118628807,18577884,71485504,53744374,0,20700793,17791306,0,145962265,0,3619857,1249732,2071092,1971258,56228190,0,178953391,24392579,0,7185916,6848931,19153276,5354898
2006,212169158,15352282,24912297,0,3653380,71680620,376866159,30092350,11033870,113159052,29154148,66017197,52100441,0,20278081,17119774,0,147738327,0,3463107,1310226,2113632,1985765,53686651,0,182170125,21173076,0,7437201,6914819,19449396,5745420
2007,213967123,14192631,24465808,27262113,3801667,75138756,383191670,25190411,13895632,119957338,27264078,67060898,54859372,0,21156601,16636313,0,145242639,0,3463393,1174576,2020120,2027364,56701827,0,180519100,19053247,47980636,6812407,7125342,18170995,4698519
2008,216663521,14620284,25501179,26711521,3967293,70114576,365550892,23025830,11881448,102705411,20701496,67532979,53252932,0,20528983,16222891,0,139893994,19883,2842725,1003250,1949206,2018585,57277458,14279174,173666425,18709206,45058411,7236834,6890367,17602756,4831028
2009,193156712,12934177,23186888,25307877,3992467,64139079,335451451,22799232,9680579,86841415,21747408,64220806,50501070,0,17249685,14499644,0,119208464,13379,2864063,1148199,1823996,1897113,57424264,14050357,166960469,18885052,36776742,7634732,6530701,15866035,3704434
2010,199522099,15672539,24206758,26596365,3868001,67031888,354470511,22723195,13718155,70774704,26924183,66655931,47387042,0,17869701,14966807,0,119722865,1796,3563891,1176541,2172839,1878307,60386109,14211337,172970921,14339684,34557674,10168331,6659137,16381912,3984920
2011,183373538,15297845,20905536,31538483,3728038,65151677,348712235,18658599,13599655,84481527,20977656,58507651,49602522,0,17578824,13578022,0,118808939,1546,2721743,962338,1969919,1931566,55832397,14097513,172366651,16308846,38186017,7627548,6650519,16606406,3761225
2012,194013444,13285829,19537802,29185184,3545929,60709663,353867938,15332432,12361560,89359395,17020559,60957880,51037064,0,16633020,14367720,0,114712656,1096,2765186,985795,1696896,2052430,52750750,13674805,168272588,16895912,35384839,6836706,6287693,15927293,3873954
2013,181479378,8068762,16728267,26477859,2829732,59130216,358983545,18786395,14107812,70272307,18918682,65109304,45719195,3834540,14333777,13297351,2802,101948221,943,2123991,630251,1738880,1697304,57666414,14057838,170329482,14265771,30767418,9113110,5871615,15394798,4072459
2014,154603768,6419089,15230243,27615362,2940320,57878871,339574961,15479301,13128620,70486438,16237254,51344206,41874475,3321582,13490159,13022248,702,93409110,309,1545271,644870,1462150,1659118,59475692,14589636,160480898,13979916,30470874,8198087,4556131,14635145,3812460
2015,134868072,7507737,16053800,29935783,3023003,57880432,333836661,12757507,10166657,80820547,13093737,52891127,37100919,3269703,14036490,13603939,1274,97676900,290,1339825,419171,1528719,889614,63714807,15082842,161226718,17530288,29410299,7639776,4653322,14518903,3827742
2016,111823678,7136550,15027777,26531705,3300001,58776545,331038270,14004821,11692807,67338908,14225638,55618367,32450016,3588251,14131384,14378396,5669,95900849,151,980429,215750,1596764,579539,63936981,14833267,160577299,16313283,26742212,8264494,5021789,14648206,3983703
2017,101385708,7795277,15093036,27966155,3287834,57723876,313346469,11524680,12465598,80105242,12541937,61312751,36058345,3197703,14162686,13439710,1755,96787070,516,860097,200555,1313640,723997,61064458,14169145,163264300,19726656,27721535,8124800,5002186,15113123,3423431
2018,94375838,7099673,15275363,24598255,3342360,57377035,299569572,11527811,11579637,69967918,13623263,52209025,33752266,2640359,13593185,11948510,2483,88104392,341,898209,186172,1705359,698028,57650671,13879755,160852149,16500519,26124173,8474800,4860601,15096905,2975664
2019,84439786,7318748,15966153,21492368,3282056,52999642,245362757,8554040,6158260,54583251,11502751,49652271,27809747,2939502,12942588,10739503,574,83170661,198,687867,201233,1605947,739362,53670490,13734963,145183249,11850633,22410541,7233379,4632474,13247358,2747825
