Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Austria,CAIT,Electricity/Heat,CO2,MtCO₂e,17.71,19.99,18.23,19.39,19.38,21.2,21.87,24.38,24.14,19.91,23.59,23.67,24.64,25.65,24.82,24.03,22.05,21.55,19.71,20.09,20.96,21.84,21.34,20.78,19.23,17.71,17.57,20.81,19.97
Belgium,CAIT,Electricity/Heat,CO2,MtCO₂e,22.47,22.11,21.99,23.21,22.32,23.31,25.45,25.86,29.83,25.92,28.02,29.28,29.59,30.08,29.95,30.58,29.47,29.26,31.26,29.91,32.98,31.33,32.88,33.14,33.47,31.25,31.36,32.18,31.68
Bulgaria,CAIT,Electricity/Heat,CO2,MtCO₂e,24.19,27.54,26.13,29.38,28.38,26.67,30.68,35.31,30.78,28.87,31.87,32.22,28.97,28.68,28.78,29.59,26.7,29.45,26.5,26.82,29.17,30.0,35.7,35.43,34.86,37.91,37.52,39.46,45.29
Croatia,CAIT,Electricity/Heat,CO2,MtCO₂e,3.88,4.49,4.83,4.76,4.79,5.22,5.64,6.32,6.04,6.52,6.93,8.04,6.91,7.12,7.1,8.19,7.53,6.7,6.19,6.76,7.41,6.32,5.92,6.07,5.43,6.65,6.17,5.59,7.9
Cyprus,CAIT,Electricity/Heat,CO2,MtCO₂e,3.27,3.22,3.21,2.94,2.87,2.77,3.46,3.65,3.79,3.93,3.89,3.74,3.56,3.49,3.31,3.52,3.0,2.84,2.96,2.82,2.64,2.41,2.28,2.17,2.37,2.24,2.12,1.82,1.76
Czech Republic,CAIT,Electricity/Heat,CO2,MtCO₂e,57.63,58.09,59.16,58.38,58.52,60.31,63.71,66.89,68.1,62.82,68.03,72.79,67.56,67.61,69.51,69.41,68.55,70.1,69.64,62.98,67.51,70.7,71.29,68.81,64.96,65.17,64.37,66.29,67.63
Denmark,CAIT,Electricity/Heat,CO2,MtCO₂e,11.5,11.52,13.88,12.78,15.53,19.07,16.9,20.13,24.31,24.39,24.47,26.62,31.33,23.6,26.89,32.79,27.88,27.67,26.43,29.49,32.57,36.09,45.14,32.57,36.2,32.04,30.47,35.46,26.55
Estonia,CAIT,Electricity/Heat,CO2,MtCO₂e,11.82,12.17,11.71,11.49,13.6,14.8,12.55,13.79,14.97,11.22,13.48,14.87,11.47,12.81,12.76,12.77,10.94,11.09,11.29,11.78,12.17,12.59,12.6,12.0,13.82,14.14,19.29,24.4,26.69
European Union (27),CAIT,Electricity/Heat,CO2,MtCO₂e,1108.45,1161.54,1158.37,1181.42,1158.16,1226.9,1294.02,1314.33,1330.92,1292.7,1405.84,1481.34,1455.83,1442.58,1449.35,1450.35,1405.6,1381.64,1364.21,1345.76,1381.99,1380.96,1420.27,1392.4,1377.23,1376.32,1425.76,1456.81,1465.11
Finland,CAIT,Electricity/Heat,CO2,MtCO₂e,20.91,19.84,21.72,20.35,23.33,26.08,24.6,29.45,35.32,29.51,29.64,36.35,38.32,26.76,38.26,42.15,33.97,31.21,25.94,24.5,24.09,29.24,31.77,24.84,26.88,22.2,19.13,21.47,19.87
France,CAIT,Electricity/Heat,CO2,MtCO₂e,61.75,59.59,54.92,54.44,50.9,65.35,68.01,66.8,74.39,72.74,74.95,78.46,76.75,80.9,74.94,75.28,72.62,69.88,77.25,74.18,80.07,65.51,70.0,66.27,61.36,61.47,74.28,85.86,74.85
Germany,CAIT,Electricity/Heat,CO2,MtCO₂e,310.35,327.74,345.94,346.26,350.25,369.74,365.16,354.26,361.68,343.1,371.06,392.57,379.51,375.8,379.48,384.22,378.73,377.21,364.01,359.05,374.12,374.14,389.99,379.36,384.92,384.36,392.66,409.3,411.76
Greece,CAIT,Electricity/Heat,CO2,MtCO₂e,33.86,34.72,33.06,34.57,38.12,41.51,45.84,45.23,45.24,48.3,51.22,52.14,48.84,50.62,49.9,49.13,48.06,48.18,47.73,41.81,40.44,39.01,39.0,42.14,40.41,38.89,38.86,36.33,37.09
