siec,unit,geo\time	2021M04 	2021M03 	2021M02 	2021M01 	2020M12 	2020M11 	2020M10 	2020M09 	2020M08 	2020M07 	2020M06 	2020M05 	2020M04 	2020M03 	2020M02 	2020M01 	2019M12 	2019M11 	2019M10 	2019M09 	2019M08 	2019M07 	2019M06 	2019M05 	2019M04 	2019M03 	2019M02 	2019M01 	2018M12 	2018M11 	2018M10 	2018M09 	2018M08 	2018M07 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 	2017M12 	2017M11 	2017M10 	2017M09 	2017M08 	2017M07 	2017M06 	2017M05 	2017M04 	2017M03 	2017M02 	2017M01 	2016M12 	2016M11 	2016M10 	2016M09 	2016M08 	2016M07 	2016M06 	2016M05 	2016M04 	2016M03 	2016M02 	2016M01 
C0000,GWH,AL	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,AT	: 	182.726 	160.367 	167.793 	170.223 	149.781 	175.696 	142.421 	143.488 	128.357 	134.765 	139.213 	131.107 	281.332 	274.941 	292.147 	259.363 	263.318 	305.497 	156.339 	136.737 	286.812 	251.168 	237.378 	266.525 	311.954 	344.164 	355.459 	397.870 	394.918 	391.961 	168.780 	106.711 	135.053 	161.986 	187.384 	218.977 	410.010 	387.824 	391.157 	406.287 	419.984 	340.628 	183.012 	190.776 	201.199 	193.254 	200.568 	248.780 	340.544 	397.125 	508.458 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,BA	: 	828.408 	873.760 	1027.328 	961.908 	960.255 	740.678 	749.714 	942.794 	836.285 	680.048 	824.245 	838.391 	851.165 	936.056 	1099.804 	906.880 	839.375 	705.066 	820.366 	981.843 	963.187 	671.341 	588.873 	507.408 	846.348 	836.243 	955.961 	: 	: 	: 	: 	: 	: 	: 	760.481 	539.470 	830.760 	923.503 	949.291 	: 	: 	: 	: 	933.804 	945.234 	933.313 	667.715 	742.893 	936.444 	961.436 	1065.049 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,BE	: 	153.086 	54.493 	95.473 	78.594 	61.480 	100.303 	112.826 	166.553 	198.045 	142.405 	148.188 	131.657 	176.138 	174.439 	185.458 	165.561 	185.090 	213.059 	166.122 	206.059 	203.414 	188.292 	207.205 	186.245 	208.543 	180.355 	194.270 	175.037 	175.141 	185.107 	194.085 	192.052 	203.318 	182.855 	170.619 	158.185 	193.087 	159.630 	145.355 	195.131 	167.167 	193.198 	174.815 	192.352 	201.608 	169.536 	199.159 	172.381 	193.451 	183.838 	177.694 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,BG	: 	1081.542 	886.310 	1065.492 	1088.052 	971.350 	994.146 	871.388 	803.762 	800.175 	683.357 	777.560 	932.973 	1142.123 	1297.405 	1228.814 	1332.091 	1315.496 	1487.561 	1199.521 	1121.764 	1071.759 	710.485 	1147.867 	1103.584 	1240.146 	1490.566 	1854.000 	1951.481 	1856.292 	1782.668 	1564.639 	1352.972 	1164.273 	1177.353 	1069.320 	774.763 	1281.961 	1414.710 	1573.486 	1539.884 	1666.082 	1647.235 	1563.312 	1391.042 	1312.688 	1100.604 	1470.574 	1252.667 	1370.895 	1606.241 	1999.251 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,CY	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,CZ	: 	2711.715 	2815.210 	3477.501 	2970.777 	3151.024 	2620.493 	2235.247 	1927.672 	1595.584 	1892.535 	1758.084 	2064.944 	2832.108 	2958.473 	3650.666 	3484.894 	3208.492 	3117.615 	2805.170 	2523.970 	2082.151 	2137.576 	2746.591 	2941.968 	3386.773 	3462.443 	3948.785 	3773.349 	3747.527 	3549.548 	3145.511 	2954.536 	3040.671 	2748.189 	2885.730 	2774.022 	4022.009 	3447.371 	3644.156 	3533.319 	3757.124 	3524.646 	3260.385 	2718.706 	2227.865 	2467.805 	2957.185 	3644.059 	3781.300 	3802.545 	4384.827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,DE	: 	11708.671 e	11612.285 e	16151.663 e	14117.960 e	14963.237 e	12739.241 e	12046.335 e	10294.576 e	8187.322 e	7586.233 e	6175.259 e	6100.342 e	9416.592 e	8238.098 e	13010.209 e	12096.247 e	16729.298 e	12498.180 e	10521.465 e	11025.342 e	11618.428 e	9815.128 e	12651.008 e	13070.741 e	12072.166 e	16312.655 e	18361.465 e	15681.653 e	19074.780 e	18081.565 e	17009.585 e	17639.054 e	18438.476 e	16135.705 e	14883.651 e	15565.367 e	20354.455 e	20096.618 e	17370.698 e	16986.158 e	19691.571 e	16353.700 e	18368.104 e	17226.414 e	16659.249 e	15664.313 e	18328.660 e	17616.264 e	20054.286 e	20143.825 e	24630.691 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,DK	: 	523.876 	730.135 	880.016 	126.822 	336.564 	264.205 	163.774 	163.818 	168.147 	164.017 	285.566 	256.253 	475.423 	552.841 	576.375 	500.831 	385.789 	229.882 	76.926 	15.588 	0.000 	28.626 	207.721 	383.463 	519.869 	597.785 	848.334 	776.982 	576.386 	456.490 	323.694 	313.293 	332.565 	114.928 	335.162 	672.046 	1253.150 	967.126 	749.818 	635.497 	597.989 	445.801 	423.530 	269.001 	205.827 	139.607 	413.216 	540.879 	863.361 	882.385 	948.169 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C0000,GWH,EA19	: 	: 	15511.961 	22359.346 	18712.684 	19371.306 	16335.066 	15916.602 	13047.907 	10763.854 	9618.170 	8223.176 	8528.465 	13003.486 	12599.527 	18080.418 	18180.281 	23405.006 	18033.461 	13773.456 	14385.824 	16797.394 	14141.640 	17063.129 	18643.656 	18828.397 	25193.354 	30190.531 	26949.927 	30578.325 	29743.691 	28903.582 	29952.891 	29492.700 	24572.025 	23392.144 	23017.468 	30645.719 	33606.008 	29630.819 	30544.516 	34315.123 	29693.422 	28597.840 	27096.565 	28469.011 	27488.699 	28976.425 	27299.376 	30439.497 	33826.029 	41868.884 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
